date,y_true,JITL_GPR
2025-01-01,8.22121009392507,2.4836543187822304
2025-02-01,8.2409125416889,4.73659488049159
2025-03-01,8.250358951477294,6.223189958869205
2025-04-01,7.773173680482536,5.678570454766868
2025-05-01,7.309212365692763,4.369535577961436
2025-06-01,6.246106765481563,4.302764621455845
2025-07-01,5.808142489980444,4.071510895972213
2025-08-01,5.662960480135946,3.7933044565024137
2025-09-01,5.730099782973574,3.977862095400332
2025-10-01,6.282266746896006,4.619203958449049
2025-11-01,7.1204443723924875,5.561886861831629
2025-12-01,7.791109510610028,7.260887850148572
