date,year,month,ngd,t,log_ngd,month_sin,month_cos,is_winter,lag1_log,lag12_log,lag1,lag12,roll3_log,roll12_log,roll3,roll12
2017-01-01,2017,1,3016,13,8.011686729127847,0.49999999999999994,0.8660254037844387,1,7.716015266642587,7.805882040228621,2244.0,2455.0,6.970173561674557,6.463721775195292,1283.0,965.5833333333334
2017-02-01,2017,2,2373,14,7.771910256435763,0.8660254037844386,0.5000000000000001,1,8.011686729127847,7.513163545234075,3016.0,1832.0,7.585596519973365,6.480872165936893,2129.6666666666665,1012.3333333333334
2017-03-01,2017,3,1878,15,7.537962659768208,1.0,6.123233995736766e-17,1,7.771910256435763,7.25063551189868,2373.0,1409.0,7.833204084068733,6.502434391870367,2544.3333333333335,1057.4166666666667
2017-04-01,2017,4,1203,16,7.0925737159746784,0.8660254037844387,-0.49999999999999983,0,7.537962659768208,6.680854678790215,1878.0,797.0,7.773853215110606,6.526378320859494,2422.3333333333335,1096.5
2017-05-01,2017,5,565,17,6.336825731146441,0.49999999999999994,-0.8660254037844387,0,7.0925737159746784,5.953243334287785,1203.0,385.0,7.467482210726217,6.5606882406248666,1818.0,1130.3333333333333
2017-06-01,2017,6,233,18,5.4510384535657,1.2246467991473532e-16,-1.0,0,6.336825731146441,5.529429087511423,565.0,252.0,6.989120702296443,6.592653440363088,1215.3333333333333,1145.3333333333333
2017-07-01,2017,7,218,19,5.384495062789089,-0.4999999999999998,-0.8660254037844388,0,5.4510384535657,5.204006687076795,233.0,182.0,6.293479300228941,6.586120887534277,667.0,1143.75
2017-08-01,2017,8,198,20,5.288267030694535,-0.8660254037844384,-0.5000000000000004,0,5.384495062789089,5.2832037287379885,218.0,197.0,5.724119749167077,6.601161585510302,338.6666666666667,1146.75
2017-09-01,2017,9,230,21,5.438079308923196,-1.0,-1.8369701987210297e-16,0,5.288267030694535,5.43372200355424,198.0,229.0,5.374600182349774,6.601583527340014,216.33333333333334,1146.8333333333333
2017-10-01,2017,10,512,22,6.238324625039508,-0.8660254037844386,0.5000000000000001,0,5.438079308923196,6.16541785423142,230.0,476.0,5.37028046746894,6.60194663612076,215.33333333333334,1146.9166666666667
2017-11-01,2017,11,1186,23,7.078341579557671,-0.5000000000000004,0.8660254037844384,1,6.238324625039508,7.029087564149662,512.0,1129.0,5.654890321552412,6.6080222003547675,313.3333333333333,1149.9166666666667
2017-12-01,2017,12,1836,24,7.515344571180436,-2.4492935982947064e-16,1.0,1,7.078341579557671,7.716015266642587,1186.0,2244.0,6.251581837840125,6.612126701638768,642.6666666666666,1154.6666666666667
2018-01-01,2018,1,2485,25,7.818027938530729,0.49999999999999994,0.8660254037844387,1,7.515344571180436,8.011686729127847,1836.0,3016.0,6.944003591925871,6.595404143683589,1178.0,1120.6666666666667
2018-02-01,2018,2,2182,26,7.687997166393016,0.8660254037844386,0.5000000000000001,1,7.818027938530729,7.771910256435763,2485.0,2373.0,7.470571363089612,6.57926591113383,1835.6666666666667,1076.4166666666667
2018-03-01,2018,3,1853,27,7.52456122628536,1.0,6.123233995736766e-17,1,7.687997166393016,7.537962659768208,2182.0,1878.0,7.673789892034726,6.572273153630268,2167.6666666666665,1060.5
2018-04-01,2018,4,985,28,6.892641641172089,0.8660254037844387,-0.49999999999999983,0,7.52456122628536,7.0925737159746784,1853.0,1203.0,7.676862110403035,6.571156367506696,2173.3333333333335,1058.4166666666667
2018-05-01,2018,5,448,29,6.104793232414985,0.49999999999999994,-0.8660254037844387,0,6.892641641172089,6.336825731146441,985.0,565.0,7.368400011283488,6.554495361273148,1673.3333333333333,1040.25
2018-06-01,2018,6,213,30,5.3612921657094255,1.2246467991473532e-16,-1.0,0,6.104793232414985,5.4510384535657,448.0,233.0,6.840665366624144,6.535159319712193,1095.3333333333333,1030.5
2018-07-01,2018,7,231,31,5.442417710521793,-0.4999999999999998,-0.8660254037844388,0,5.3612921657094255,5.384495062789089,213.0,218.0,6.119575679765499,6.527680462390837,548.6666666666666,1028.8333333333333
2018-08-01,2018,8,204,32,5.318119993844216,-0.8660254037844384,-0.5000000000000004,0,5.442417710521793,5.288267030694535,231.0,198.0,5.6361677028820685,6.532507349701895,297.3333333333333,1029.9166666666667
2018-09-01,2018,9,283,33,5.645446897643238,-1.0,-1.8369701987210297e-16,0,5.318119993844216,5.438079308923196,204.0,230.0,5.373943290025145,6.534995096631036,216.0,1030.4166666666667
2018-10-01,2018,10,436,34,6.077642243349034,-0.8660254037844386,0.5000000000000001,0,5.645446897643238,6.238324625039508,283.0,512.0,5.468661534003083,6.552275729024372,239.33333333333334,1034.8333333333333
2018-11-01,2018,11,1098,35,7.001245622069476,-0.5000000000000004,0.8660254037844384,1,6.077642243349034,7.078341579557671,436.0,1186.0,5.680403044945496,6.538885530550167,307.6666666666667,1028.5
2018-12-01,2018,12,2324,36,7.751045117971802,-2.4492935982947064e-16,1.0,1,7.001245622069476,7.515344571180436,1098.0,1836.0,6.241444921020583,6.53246086742615,605.6666666666666,1021.1666666666666
2019-01-01,2019,1,3033,37,8.017307507688582,0.49999999999999994,0.8660254037844387,1,7.751045117971802,7.818027938530729,2324.0,2485.0,6.943310994463438,6.552102579658764,1286.0,1061.8333333333333
