forecast_step,year,month,yhat_target,yhat_target_std,yhat_level
1,2026,1,8.717796924473483,0.5554024967046466,6110.701910115157
2,2026,2,8.042561272192437,0.5268437896718725,3110.570012660243
3,2026,3,7.46347925884315,0.5304678689569309,1743.202571592745
4,2026,4,6.9744694516797265,0.5455725696868271,1068.9898880076807
5,2026,5,6.577290618965529,0.49934977394087793,718.5897559170178
6,2026,6,6.261127758248942,0.5062948072490282,523.8093374338632
7,2026,7,6.075132009035476,0.5054853972109877,434.90691036882697
8,2026,8,6.149648566875642,0.4915316371385927,468.55269290787567
9,2026,9,6.286325749248974,0.4594324490719406,537.1759794241103
10,2026,10,6.802700110882993,0.48045805980974127,900.2748547637942
11,2026,11,7.122773207044699,0.494758932068804,1239.8841254869756
12,2026,12,7.331831961855537,0.5367565039331259,1528.178774430617
